"NatM_p_1_Fem_GP_1","SR_LN(R0)","SR_BH_steep","Q_extraSD_Acoustic_Survey(2)","ln(EffN_mult)_1","ln(EffN_mult)_2"
0.206922,14.032,0.91649,0.234751,-0.759686,2.47628
0.196264,14.4245,0.72094,0.368781,-0.476217,1.92719
0.21456,14.5213,0.81977,0.47955,-0.493461,4.07284
0.207978,14.3483,0.79602,0.328142,-0.564287,2.36576
0.236852,15.1654,0.878123,0.360724,-0.600554,2.447
0.205308,14.4683,0.706494,0.337435,-0.498294,3.61962
0.245674,14.8088,0.733319,0.497356,-0.372586,1.39788
0.229895,14.7705,0.902912,0.184932,-0.40622,3.30603
0.216709,14.5996,0.770619,0.390443,-0.693232,3.49384
0.20334,14.6701,0.766269,0.24484,-0.569785,3.18801
0.226821,14.4158,0.792115,0.319241,-0.551452,2.18261
0.246591,15.2822,0.811426,0.278808,-0.684806,2.24909
0.220255,14.4277,0.960122,0.241349,-0.590029,1.29723
0.245005,15.061,0.892686,0.262522,-0.633508,3.24052
0.236588,14.8468,0.773043,0.214572,-0.665227,1.69613
0.208958,14.338,0.780146,0.485129,-0.481611,1.74732
0.224745,14.8249,0.904752,0.280812,-0.576008,1.8719
0.209644,14.6357,0.640884,0.202475,-0.486173,2.24341
0.233107,14.9238,0.944554,0.368414,-0.73519,2.35879
0.215753,14.7667,0.865557,0.310839,-0.45387,2.65565
0.225629,15.0677,0.88051,0.264507,-0.4967,1.86031
0.19955,14.489,0.889427,0.225258,-0.588102,2.27309
0.23911,14.7627,0.86838,0.445154,-0.370769,3.13395
0.249089,15.0877,0.92153,0.26104,-0.598852,3.56922
0.219141,14.6344,0.930722,0.209237,-0.509655,2.31145
0.203521,14.2429,0.740681,0.311686,-0.439174,1.34747
0.214697,14.6811,0.895295,0.289646,-0.532831,2.18393
0.271086,15.5332,0.628748,0.578775,-0.663782,2.16442
0.260064,14.9563,0.613421,0.356982,-0.590103,0.731944
0.240552,14.3705,0.673332,0.340227,-0.452502,3.42242
0.22239,14.6175,0.772239,0.244625,-0.598195,2.0476
0.264191,15.1658,0.859434,0.234032,-0.568193,2.60262
0.203708,14.256,0.561608,0.260134,-0.497362,2.39845
0.273839,15.3509,0.51791,0.309366,-0.538554,2.12999
0.270555,15.3324,0.900793,0.272608,-0.520017,2.69172
0.270659,15.3164,0.625494,0.236244,-0.460639,1.28628
0.241,14.5978,0.641482,0.27041,-0.73552,2.89933
0.211903,14.3461,0.744354,0.2722,-0.548704,0.962895
0.229236,14.974,0.74848,0.228969,-0.609253,2.14772
0.236783,14.8811,0.794143,0.270663,-0.490218,3.47946
0.248179,14.8186,0.802328,0.208014,-0.447559,1.53238
0.258313,14.8939,0.804668,0.200846,-0.602716,2.08139
0.224835,14.5079,0.736702,0.275104,-0.562521,2.14105
0.231141,14.5504,0.967396,0.3023,-0.422993,2.5068
0.241512,14.4791,0.696026,0.301859,-0.418053,2.75919
0.241236,14.9453,0.781399,0.30269,-0.55704,2.28077
0.21352,14.653,0.8851,0.342795,-0.447504,2.45817
0.195808,14.0327,0.622971,0.163106,-0.546098,2.14671
0.24664,14.7334,0.658395,0.276062,-0.512722,4.52759
0.27245,15.208,0.953145,0.193299,-0.348441,2.11419
0.266417,15.3005,0.860988,0.291754,-0.625743,3.86836
0.24883,15.2939,0.731468,0.228999,-0.59128,2.97569
0.21673,14.3085,0.837185,0.222458,-0.476394,2.46911
0.246837,15.0285,0.828475,0.490283,-0.515533,1.24613
0.236738,14.9531,0.819102,0.286452,-0.695979,2.71762
0.235639,14.7402,0.741349,0.197061,-0.435396,1.41419
0.235284,15.1324,0.653043,0.355665,-0.541293,3.39567
0.212237,14.4762,0.90505,0.370009,-0.469402,1.41489
0.239754,15.0434,0.697899,0.290119,-0.596461,2.58469
0.249855,14.72,0.768319,0.31342,-0.59623,1.98541
0.214485,14.5161,0.644644,0.231736,-0.57613,2.11748
0.215325,14.5056,0.928694,0.508838,-0.616543,1.61661
0.210659,14.4897,0.925973,0.246683,-0.562296,2.1463
0.255816,15.2135,0.757052,0.20326,-0.576449,1.96085
0.246762,15.0556,0.743014,0.311568,-0.434614,1.73896
0.25635,14.8375,0.935755,0.225867,-0.528117,1.95771
0.213026,14.4319,0.856904,0.378224,-0.464165,2.93601
0.228409,14.7805,0.883411,0.411376,-0.544041,1.39899
0.213886,14.5727,0.895887,0.282047,-0.556224,1.25028
0.227745,14.389,0.896748,0.30107,-0.497702,2.81106
0.250617,14.6923,0.830083,0.360537,-0.639284,1.96488
0.247602,14.8531,0.767214,0.268715,-0.586812,1.27048
0.215294,14.6924,0.90108,0.151832,-0.649186,2.80581
0.208275,14.4366,0.850292,0.406518,-0.466317,2.64871
0.231141,14.9692,0.689167,0.259244,-0.413017,2.27243
0.220952,14.6979,0.803939,0.27882,-0.570328,3.23153
0.215546,14.5827,0.904823,0.321372,-0.635912,1.78961
0.24617,15.1257,0.652955,0.442851,-0.615675,1.94784
0.192875,14.1263,0.833497,0.274909,-0.341657,2.88619
0.249014,14.7455,0.809876,0.35367,-0.517026,2.37888
0.243113,14.7854,0.775934,0.233237,-0.389495,1.70553
0.251365,15.2474,0.743617,0.234976,-0.539997,1.95199
0.199696,14.252,0.97868,0.328457,-0.467239,1.56804
0.227064,14.6173,0.908562,0.278582,-0.595206,1.82691
0.199522,14.7277,0.840854,0.194038,-0.535159,1.39604
0.219459,14.6234,0.790609,0.1873,-0.579109,2.05801
0.242734,15.2231,0.880435,0.226275,-0.531767,2.39592
0.225557,14.4349,0.820786,0.284705,-0.444737,1.35606
0.213012,14.7325,0.81407,0.311167,-0.713969,2.03607
0.220051,14.9493,0.720986,0.278511,-0.574696,2.35526
0.250815,14.9599,0.898223,0.211149,-0.617623,2.59186
0.262759,15.003,0.928159,0.378863,-0.542312,1.34038
0.288115,15.3376,0.798492,0.257258,-0.576134,2.04143
0.299808,15.8662,0.884203,0.308816,-0.510108,3.18223
0.269799,15.2396,0.81933,0.260297,-0.566188,1.88441
0.231047,14.3985,0.898352,0.406831,-0.511349,2.47095
0.216155,14.7615,0.855478,0.23299,-0.642544,3.17872
0.249742,15.0016,0.762755,0.398484,-0.5729,2.10782
0.239387,14.864,0.767298,0.262307,-0.383992,1.89041
0.213607,14.6237,0.94082,0.218816,-0.685307,1.82487
0.224567,14.6341,0.857752,0.2602,-0.509802,5.03818
0.224561,14.8723,0.940541,0.186783,-0.561193,2.62031
0.242155,14.7915,0.923078,0.216798,-0.450073,1.23533
0.240089,15.014,0.661174,0.397713,-0.346527,2.34971
0.24316,14.9465,0.760613,0.255206,-0.585514,2.99088
0.24197,14.6324,0.824863,0.353877,-0.461302,2.19631
0.199108,14.4789,0.89609,0.342064,-0.608892,1.31018
0.205546,13.877,0.831366,0.376794,-0.602535,3.01671
0.232983,14.4484,0.580875,0.315327,-0.308485,0.858634
0.247951,15.1498,0.717802,0.310263,-0.777116,2.98611
0.245636,15.2164,0.813294,0.564351,-0.589801,3.46051
